"Наименование","Model","Type","MaxPwr","Порт1","Порт2","Адрес","Lat","Long","Описание станции","Тариф","Описание тарифа","Проблемы"
"ADK_120GG_1","StarCharge","dc","120","GBT","GBT","209, Satpaev St 90/1, Almaty 050000, Kazakhstan","43.232946556970774","76.8775719361763","🔥🔥 Скидка на 🅿️парковку🔥🔥
🇨🇳 Зарядка для китайских Авто
☕️ Кафе и рестораны
🎁 Магазины
🍫 Вендинг
😎 Охрана","[80-130 KZT] Base Dynamic","⚡️ Средние тарифы по времени суток

🌙 Ночь (00:00 - 08:00) — тариф: 80 тенге/кВт·ч до 20 кВт·ч. Свыше 20 кВт·ч тариф: 90 тенге/кВт·ч 
🌞 День (08:00 - 18:00) — тариф: 95 тенге/кВт·ч
⏰ Пик (18:00 - 20:00) — тариф: 110 тенге/кВт·ч до 30 мин.  > 20 кВт.  Дольше 30 мин. < 20 кВт тариф: 130 тенге /кВт·ч
🌆 Вечер (20:00 - 00:00) — тариф: 95 тенге/кВт·ч

🔺 Тариф повышается при медленной зарядке более 30 минут (до 20 кВт). ⏳ Дайте другим зарядиться быстрее! 🚗⚡","Обещанный бесплатный паркин не всегда работает
необходимо установить приложение АДК, при этом оно часто не работает"
"ADK_120GG_2","StarCharge","dc","120","GBT","GBT","28 ТРЦ АДК, улица Сатпаева 90, Almaty 050000, Kazakhstan","43.2320720438438","76.8778956019865","🔥🔥 Скидка на 🅿️парковку🔥🔥
🇨🇳 Зарядка для китайских Авто
☕️ Кафе и рестораны
🎁 Магазины
🍫 Вендинг
😎 Охрана","[80-130 KZT] Base Dynamic","⚡️ Средние тарифы по времени суток

🌙 Ночь (00:00 - 08:00) — тариф: 80 тенге/кВт·ч до 20 кВт·ч. Свыше 20 кВт·ч тариф: 90 тенге/кВт·ч 
🌞 День (08:00 - 18:00) — тариф: 95 тенге/кВт·ч
⏰ Пик (18:00 - 20:00) — тариф: 110 тенге/кВт·ч до 30 мин.  > 20 кВт.  Дольше 30 мин. < 20 кВт тариф: 130 тенге /кВт·ч
🌆 Вечер (20:00 - 00:00) — тариф: 95 тенге/кВт·ч

🔺 Тариф повышается при медленной зарядке более 30 минут (до 20 кВт). ⏳ Дайте другим зарядиться быстрее! 🚗⚡","Обещанный бесплатный паркин не всегда работает
необходимо установить приложение АДК, при этом оно часто не работает"
"Audi Almaty 180CC","ABB","dc","180","CCS2","CCS2","Rysqūlov Ave, Almaty, Kazakhstan","43.29346761043366","76.99542216592032","⏰ Круглосуточно
клиенты Audi заряжаются бесплатно
☕️ Кафе-бар
🛋 Зона ожидания
🚗 Автосалон","[100 KZT] Клиенты Ауди БЕСПЛАТНО","","Покрытие GSM слабое, связь иногда пропадает"
"Baum Park # 1 - 180 (GBT/CCS2)","StarCharge","dc","180","CCS2","GBT","Suyunbai Ave 211, Almaty, Kazakhstan","43.314914119409","76.95688155152054","⏰ Круглосуточный доступ 
🔥🔥 Быстрая зарядка 1000В
На территории: ☕️ Кофейня 🚘 СТО 🍫 Вендинг
😎 Охраняемая парковка","[85 KZT] Базовый тариф","",""
"Baum Park #2 - 180 (GBT/CCS2)","StarCharge","dc","180","CCS2","GBT","проспект Суюнбая 211","43.31523097260593","76.95697945214958","⏰ Круглосуточный доступ 
🔥🔥 Быстрая зарядка 1000В
На территории: ☕️ Кофейня 🚘 СТО 🍫 Вендинг
😎 Охраняемая парковка","[85 KZT] Базовый тариф","",""
"Clever Medical AC","StarCharge","ac-3","22","Socket Type 2","отсутствует","ул. Кокозек, 433","43.35580036795282","76.7722892744805","","[85 KZT] Clever Medical","",""
"Clever Medical DC","StarCharge","dc","180","CCS2","GBT","ул. Кокозек, 433","43.3558","76.772","","[85 KZT] Clever Medical","",""
"Family_120GG","StarCharge","dc","120","GBT","GBT"," Улугбека, 57а, Almaty 050000, Kazakhstan","43.228232973682225","76.85289669309756","Зарядная станция 120 кВт с портами GB/T + GB/T для электрокаров из Китая. 
Тариф станции 70 тг.","[70 KZT] Сервис инженеры БЕСПЛАТНО","",""
"Famous Town SC GBT+CCS2","StarCharge","dc","180","CCS2","GBT","Famous Town","43.169273","76.913496","","[85 KZT] Базовый тариф","","Покрытие GSM слабое, связь часто пропадает"
"Keruen Medicus №1","ABB","ac-3","22","Socket Type 2","отсутствует","Bukhar-Zhyrau Blvd 45, Almaty 050000, Kazakhstan","43.23178084507259","76.91443716309904","🏥Медицинский Центр
⏰ Доступ 08:00 - 20:00
✅ Для всех видов машин* (необходим свой кабель)
💎 Бесплатно (Приоритет - клиенты медцентра)","[0,00 KZT]","","места для электричек часто заняты клиентами медцентра"
